task_id,condition,rank,record_id,score
TASK-001,C1_free_text,1,INC-0060,0.17684857387091146
TASK-001,C1_free_text,2,INC-0136,0.17133689530295423
TASK-001,C1_free_text,3,INC-0032,0.1696136492290874
TASK-001,C1_free_text,4,INC-0096,0.16575179478049895
TASK-001,C1_free_text,5,INC-0124,0.1621285622653523
TASK-001,C1_free_text,6,INC-0158,0.15804494395751018
TASK-001,C1_free_text,7,SOP-0048,0.12032174500280263
TASK-001,C1_free_text,8,SOP-0002,0.11880834679358798
TASK-001,C1_free_text,9,SOP-0049,0.11342665499172608
TASK-001,C1_free_text,10,SOP-0029,0.11335803751687291
TASK-002,C1_free_text,1,INC-0162,0.3113560558115763
TASK-002,C1_free_text,2,INC-0098,0.2997737761621227
TASK-002,C1_free_text,3,INC-0034,0.2924363586619708
TASK-002,C1_free_text,4,INC-0045,0.2398852856502355
TASK-002,C1_free_text,5,INC-0140,0.23316075787903734
TASK-002,C1_free_text,6,INC-0019,0.21912084230280965
TASK-002,C1_free_text,7,INC-0076,0.21437123378716444
TASK-002,C1_free_text,8,INC-0121,0.20290515868268827
TASK-002,C1_free_text,9,INC-0146,0.19973073939670757
TASK-002,C1_free_text,10,INC-0127,0.19604223347667118
TASK-003,C1_free_text,1,SOP-0049,0.1898258413599732
TASK-003,C1_free_text,2,INC-0025,0.17105111734730438
TASK-003,C1_free_text,3,INC-0153,0.16844253854179053
TASK-003,C1_free_text,4,INC-0053,0.15750359633726485
TASK-003,C1_free_text,5,INC-0046,0.15711637431192133
TASK-003,C1_free_text,6,INC-0150,0.15550897142927037
TASK-003,C1_free_text,7,INC-0115,0.15489290637224856
TASK-003,C1_free_text,8,INC-0176,0.1542594824042108
TASK-003,C1_free_text,9,INC-0034,0.15087522733898856
TASK-003,C1_free_text,10,INC-0023,0.15071498614257223
TASK-004,C1_free_text,1,SOP-0043,0.23431629024902043
TASK-004,C1_free_text,2,VND-0018,0.2335246084913833
TASK-004,C1_free_text,3,VND-0023,0.2335246084913833
TASK-004,C1_free_text,4,INC-0063,0.22525858420116118
TASK-004,C1_free_text,5,INC-0179,0.2195529051104696
TASK-004,C1_free_text,6,INC-0115,0.20622259582401853
TASK-004,C1_free_text,7,VND-0039,0.20235117975516437
TASK-004,C1_free_text,8,LL-0021,0.20150284087185724
TASK-004,C1_free_text,9,INC-0127,0.1927190224044989
TASK-004,C1_free_text,10,VND-0013,0.18946422928263254
TASK-005,C1_free_text,1,INC-0106,0.16981349929951883
TASK-005,C1_free_text,2,INC-0056,0.1430433446737904
TASK-005,C1_free_text,3,SOP-0036,0.1410470705925995
TASK-005,C1_free_text,4,SOP-0037,0.14066635555833282
TASK-005,C1_free_text,5,INC-0042,0.14004632621692953
TASK-005,C1_free_text,6,INC-0170,0.13647340977955236
TASK-005,C1_free_text,7,INC-0150,0.13522619741517622
TASK-005,C1_free_text,8,INC-0005,0.13505233040848877
TASK-005,C1_free_text,9,INC-0120,0.13419191257642063
TASK-005,C1_free_text,10,INC-0131,0.13285397688558126
TASK-006,C1_free_text,1,INC-0176,0.2507547709839666
TASK-006,C1_free_text,2,INC-0048,0.2451336429686568
TASK-006,C1_free_text,3,INC-0053,0.18673664817131616
TASK-006,C1_free_text,4,INC-0008,0.1764512298159836
TASK-006,C1_free_text,5,INC-0005,0.17621070588863985
TASK-006,C1_free_text,6,INC-0112,0.16370862002101347
TASK-006,C1_free_text,7,INC-0026,0.159239166698555
TASK-006,C1_free_text,8,LL-0007,0.15734689357700377
TASK-006,C1_free_text,9,INC-0143,0.15684088377689265
TASK-006,C1_free_text,10,INC-0015,0.15591007299862614
TASK-007,C1_free_text,1,INC-0090,0.1798867937005837
TASK-007,C1_free_text,2,INC-0105,0.1635261814151074
TASK-007,C1_free_text,3,INC-0023,0.16091986968242367
TASK-007,C1_free_text,4,VND-0002,0.16020318864587954
TASK-007,C1_free_text,5,VND-0027,0.15984048129567094
TASK-007,C1_free_text,6,VND-0034,0.15830299636356857
TASK-007,C1_free_text,7,VND-0006,0.15041641003318412
TASK-007,C1_free_text,8,VND-0037,0.15041641003318412
TASK-007,C1_free_text,9,INC-0041,0.1501370814730889
TASK-007,C1_free_text,10,INC-0154,0.13785387513539532
TASK-008,C1_free_text,1,INC-0155,0.2191594090870109
TASK-008,C1_free_text,2,INC-0133,0.2081497772123174
TASK-008,C1_free_text,3,INC-0048,0.1920010954440481
TASK-008,C1_free_text,4,INC-0005,0.18344738062540134
TASK-008,C1_free_text,5,INC-0041,0.17641609798725846
TASK-008,C1_free_text,6,INC-0069,0.16853485254070028
TASK-008,C1_free_text,7,INC-0072,0.16628021996388298
TASK-008,C1_free_text,8,INC-0104,0.1658902014616497
TASK-008,C1_free_text,9,INC-0018,0.16490764614169925
TASK-008,C1_free_text,10,INC-0027,0.1556501937907363
TASK-009,C1_free_text,1,INC-0045,0.2660982199051392
TASK-009,C1_free_text,2,INC-0140,0.24946328564955728
TASK-009,C1_free_text,3,INC-0127,0.24062715968971649
TASK-009,C1_free_text,4,INC-0098,0.23923331883365817
TASK-009,C1_free_text,5,INC-0076,0.23697055969596312
TASK-009,C1_free_text,6,INC-0109,0.23069456742575617
TASK-009,C1_free_text,7,INC-0019,0.22632322014595396
TASK-009,C1_free_text,8,INC-0162,0.21288695565774762
TASK-009,C1_free_text,9,INC-0121,0.20137034785889882
TASK-009,C1_free_text,10,INC-0034,0.19548582762347522
TASK-010,C1_free_text,1,INC-0092,0.2610630371899981
TASK-010,C1_free_text,2,INC-0028,0.25810130348377225
TASK-010,C1_free_text,3,INC-0039,0.25486092458383447
TASK-010,C1_free_text,4,INC-0156,0.2540413153106532
TASK-010,C1_free_text,5,INC-0103,0.21779244530796366
TASK-010,C1_free_text,6,INC-0019,0.21328901005702744
TASK-010,C1_free_text,7,LL-0013,0.20505099205723848
TASK-010,C1_free_text,8,SOP-0015,0.20137736510708723
TASK-010,C1_free_text,9,INC-0031,0.19911233954020222
TASK-010,C1_free_text,10,INC-0167,0.1988454409832218
TASK-011,C1_free_text,1,INC-0026,0.15797553229366787
TASK-011,C1_free_text,2,INC-0172,0.1492058233292492
TASK-011,C1_free_text,3,INC-0085,0.14134272701610315
TASK-011,C1_free_text,4,INC-0150,0.14052234554546397
TASK-011,C1_free_text,5,INC-0008,0.13946975261010414
TASK-011,C1_free_text,6,INC-0107,0.13431529463972702
TASK-011,C1_free_text,7,INC-0115,0.13287758858136375
TASK-011,C1_free_text,8,INC-0034,0.1285535052633131
TASK-011,C1_free_text,9,INC-0149,0.12407341403891295
TASK-011,C1_free_text,10,INC-0067,0.12043362675841936
TASK-012,C1_free_text,1,INC-0169,0.20591848675487165
TASK-012,C1_free_text,2,INC-0027,0.20290101743136005
TASK-012,C1_free_text,3,INC-0033,0.18245515169477827
TASK-012,C1_free_text,4,INC-0104,0.18180449026527695
TASK-012,C1_free_text,5,INC-0054,0.16111864059625816
TASK-012,C1_free_text,6,INC-0040,0.1565071473729963
TASK-012,C1_free_text,7,INC-0048,0.15494730432252413
TASK-012,C1_free_text,8,INC-0041,0.1547929099290024
TASK-012,C1_free_text,9,INC-0133,0.15055421925512555
TASK-012,C1_free_text,10,INC-0021,0.14964777944810506
TASK-013,C1_free_text,1,SOP-0022,0.22268073786987
TASK-013,C1_free_text,2,SOP-0026,0.2102296611355836
TASK-013,C1_free_text,3,INC-0164,0.188991170409051
TASK-013,C1_free_text,4,INC-0100,0.185287767568456
TASK-013,C1_free_text,5,INC-0036,0.1831937752691209
TASK-013,C1_free_text,6,INC-0135,0.18085822616419106
TASK-013,C1_free_text,7,LL-0024,0.17374188568136836
TASK-013,C1_free_text,8,INC-0059,0.17065083447825546
TASK-013,C1_free_text,9,INC-0102,0.1689823759252677
TASK-013,C1_free_text,10,INC-0166,0.16778157507577715
TASK-014,C1_free_text,1,INC-0117,0.25049402749325733
