task_id,condition,rank,record_id,score
TASK-001,C2_metadata_filtered,1,SOP-0048,0.12032174500280263
TASK-001,C2_metadata_filtered,2,LL-0011,0.0990086402547687
TASK-001,C2_metadata_filtered,3,INC-0025,0.08372156851483327
TASK-001,C2_metadata_filtered,4,INC-0089,0.07757116737601974
TASK-001,C2_metadata_filtered,5,INC-0153,0.07443584474201
TASK-002,C2_metadata_filtered,1,INC-0162,0.3113560558115763
TASK-002,C2_metadata_filtered,2,INC-0098,0.2997737761621227
TASK-002,C2_metadata_filtered,3,INC-0034,0.2924363586619708
TASK-003,C2_metadata_filtered,1,SOP-0049,0.1898258413599732
TASK-003,C2_metadata_filtered,2,INC-0081,0.15005983171930398
TASK-003,C2_metadata_filtered,3,INC-0017,0.1364120641441517
TASK-003,C2_metadata_filtered,4,INC-0145,0.1347773029069667
TASK-004,C2_metadata_filtered,1,INC-0063,0.22525858420116118
TASK-004,C2_metadata_filtered,2,INC-0127,0.1927190224044989
TASK-005,C2_metadata_filtered,1,INC-0071,0.12157659089239672
TASK-005,C2_metadata_filtered,2,INC-0135,0.10610471758833454
TASK-005,C2_metadata_filtered,3,INC-0007,0.09414376533692517
TASK-005,C2_metadata_filtered,4,LL-0003,0.043162020439650506
TASK-006,C2_metadata_filtered,1,INC-0176,0.2507547709839666
TASK-006,C2_metadata_filtered,2,INC-0048,0.2451336429686568
TASK-006,C2_metadata_filtered,3,INC-0112,0.16370862002101347
TASK-006,C2_metadata_filtered,4,LL-0007,0.15734689357700377
TASK-007,C2_metadata_filtered,1,INC-0105,0.1635261814151074
TASK-007,C2_metadata_filtered,2,VND-0002,0.16020318864587954
TASK-007,C2_metadata_filtered,3,VND-0027,0.15984048129567094
TASK-007,C2_metadata_filtered,4,VND-0034,0.15830299636356857
TASK-007,C2_metadata_filtered,5,VND-0006,0.15041641003318412
TASK-007,C2_metadata_filtered,6,VND-0037,0.15041641003318412
TASK-007,C2_metadata_filtered,7,INC-0041,0.1501370814730889
TASK-007,C2_metadata_filtered,8,LL-0002,0.07858770270684794
TASK-008,C2_metadata_filtered,1,INC-0133,0.2081497772123174
TASK-008,C2_metadata_filtered,2,INC-0005,0.18344738062540134
TASK-008,C2_metadata_filtered,3,INC-0069,0.16853485254070028
TASK-008,C2_metadata_filtered,4,SOP-0045,0.10121333535827093
TASK-008,C2_metadata_filtered,5,LL-0027,0.08350790159957971
TASK-009,C2_metadata_filtered,1,INC-0045,0.2660982199051392
TASK-009,C2_metadata_filtered,2,INC-0109,0.23069456742575617
TASK-009,C2_metadata_filtered,3,SOP-0047,0.15760732091444635
TASK-009,C2_metadata_filtered,4,LL-0025,0.0911421244880404
TASK-009,C2_metadata_filtered,5,INC-0173,0.08631725737432032
TASK-010,C2_metadata_filtered,1,INC-0092,0.2610630371899981
TASK-010,C2_metadata_filtered,2,INC-0028,0.25810130348377225
TASK-010,C2_metadata_filtered,3,INC-0156,0.2540413153106532
TASK-011,C2_metadata_filtered,1,INC-0107,0.13431529463972702
TASK-011,C2_metadata_filtered,2,INC-0171,0.11866756063473813
TASK-011,C2_metadata_filtered,3,INC-0043,0.11274162164956127
TASK-011,C2_metadata_filtered,4,LL-0012,0.10764192073118521
TASK-011,C2_metadata_filtered,5,SOP-0025,0.10450197080009238
TASK-012,C2_metadata_filtered,1,INC-0104,0.18180449026527695
TASK-012,C2_metadata_filtered,2,INC-0040,0.1565071473729963
TASK-012,C2_metadata_filtered,3,INC-0168,0.14041390577498356
TASK-012,C2_metadata_filtered,4,SOP-0024,0.11168972272819472
TASK-012,C2_metadata_filtered,5,LL-0005,0.10516807781995298
TASK-013,C2_metadata_filtered,1,INC-0102,0.1689823759252677
TASK-013,C2_metadata_filtered,2,INC-0166,0.16778157507577715
TASK-013,C2_metadata_filtered,3,INC-0038,0.1489370708065621
TASK-013,C2_metadata_filtered,4,SOP-0041,0.13883067532623528
TASK-013,C2_metadata_filtered,5,LL-0010,0.11027353325827857
TASK-014,C2_metadata_filtered,1,INC-0117,0.25049402749325733
TASK-014,C2_metadata_filtered,2,SOP-0039,0.19117675714082827
TASK-014,C2_metadata_filtered,3,INC-0053,0.1679432635353429
TASK-015,C2_metadata_filtered,1,INC-0147,0.217821935651208
TASK-015,C2_metadata_filtered,2,SOP-0015,0.18969035582274163
TASK-015,C2_metadata_filtered,3,INC-0083,0.18199036718342373
TASK-015,C2_metadata_filtered,4,INC-0019,0.1680240756393889
TASK-016,C2_metadata_filtered,1,INC-0037,0.20940327971276584
TASK-016,C2_metadata_filtered,2,INC-0101,0.20636043768411375
TASK-016,C2_metadata_filtered,3,SOP-0007,0.14350812487547665
TASK-016,C2_metadata_filtered,4,INC-0165,0.08336672190300322
TASK-017,C2_metadata_filtered,1,INC-0003,0.22428047911048277
TASK-017,C2_metadata_filtered,2,INC-0067,0.21652943217273135
TASK-017,C2_metadata_filtered,3,INC-0131,0.19667711746960737
TASK-017,C2_metadata_filtered,4,SOP-0030,0.13975864094161855
TASK-017,C2_metadata_filtered,5,LL-0030,0.11128176369295645
TASK-018,C2_metadata_filtered,1,INC-0057,0.23758675298318335
TASK-018,C2_metadata_filtered,2,VND-0018,0.22627562218449399
TASK-018,C2_metadata_filtered,3,VND-0023,0.22627562218449399
TASK-018,C2_metadata_filtered,4,VND-0039,0.20054645150929507
TASK-018,C2_metadata_filtered,5,VND-0013,0.18777443707790237
TASK-018,C2_metadata_filtered,6,VND-0022,0.18665825736859826
TASK-018,C2_metadata_filtered,7,VND-0040,0.18665825736859826
TASK-018,C2_metadata_filtered,8,INC-0121,0.1770780392672547
TASK-018,C2_metadata_filtered,9,SOP-0021,0.12093304240542796
TASK-018,C2_metadata_filtered,10,LL-0018,0.11178514645447574
TASK-019,C2_metadata_filtered,1,SOP-0006,0.16182027329996956
TASK-019,C2_metadata_filtered,2,INC-0180,0.11104447716207688
TASK-019,C2_metadata_filtered,3,INC-0116,0.09486635084784131
TASK-019,C2_metadata_filtered,4,INC-0052,0.08831172985165524
TASK-020,C2_metadata_filtered,1,INC-0097,0.20146987672062594
TASK-020,C2_metadata_filtered,2,INC-0161,0.13602755450812168
TASK-020,C2_metadata_filtered,3,SOP-0029,0.12426399138845051
TASK-020,C2_metadata_filtered,4,INC-0033,0.07457605310317646
TASK-021,C2_metadata_filtered,1,INC-0142,0.24463325749194928
TASK-021,C2_metadata_filtered,2,SOP-0001,0.18582452017326148
TASK-021,C2_metadata_filtered,3,INC-0078,0.15465479835516227
TASK-021,C2_metadata_filtered,4,INC-0014,0.14917257188263505
TASK-022,C2_metadata_filtered,1,INC-0054,0.3487997305426254
TASK-022,C2_metadata_filtered,2,INC-0118,0.29046295082892065
TASK-022,C2_metadata_filtered,3,SOP-0004,0.12535571402297455
TASK-022,C2_metadata_filtered,4,LL-0006,0.1071915545061847
TASK-023,C2_metadata_filtered,1,SOP-0005,0.2636011149384908
TASK-023,C2_metadata_filtered,2,INC-0009,0.258050197042652
TASK-023,C2_metadata_filtered,3,INC-0137,0.23733608803448797
TASK-023,C2_metadata_filtered,4,LL-0008,0.22659685598152976
TASK-023,C2_metadata_filtered,5,INC-0073,0.20769463175108951
TASK-024,C2_metadata_filtered,1,INC-0110,0.2906241767362376
TASK-024,C2_metadata_filtered,2,INC-0174,0.2546569388827825
TASK-024,C2_metadata_filtered,3,LL-0029,0.08458945436917302
TASK-024,C2_metadata_filtered,4,SOP-0034,0.07762223332575575
TASK-024,C2_metadata_filtered,5,VND-0019,0.07684030177169351
TASK-024,C2_metadata_filtered,6,VND-0017,0.0757600433402547
TASK-024,C2_metadata_filtered,7,VND-0012,0.0750671118471065
TASK-024,C2_metadata_filtered,8,VND-0029,0.07337042690047418
TASK-025,C2_metadata_filtered,1,INC-0082,0.26855432120693
TASK-025,C2_metadata_filtered,2,SOP-0032,0.2032625968637649
TASK-025,C2_metadata_filtered,3,INC-0018,0.19439801980284369
TASK-025,C2_metadata_filtered,4,INC-0146,0.17694347331182905
TASK-026,C2_metadata_filtered,1,INC-0124,0.26444156501077287
TASK-026,C2_metadata_filtered,2,SOP-0010,0.23727276073769876
TASK-026,C2_metadata_filtered,3,INC-0060,0.18195192741710547
TASK-027,C2_metadata_filtered,1,INC-0159,0.24915273327411547
TASK-027,C2_metadata_filtered,2,SOP-0014,0.2359986788650531
TASK-027,C2_metadata_filtered,3,INC-0095,0.22300026963136602
TASK-027,C2_metadata_filtered,4,INC-0031,0.2110122573373622
TASK-027,C2_metadata_filtered,5,LL-0001,0.1949775847184093
TASK-028,C2_metadata_filtered,1,INC-0006,0.338387383306185
TASK-028,C2_metadata_filtered,2,INC-0134,0.2970868686163196
TASK-028,C2_metadata_filtered,3,INC-0070,0.1988086293059257
TASK-029,C2_metadata_filtered,1,SOP-0019,0.16381906003226482
TASK-029,C2_metadata_filtered,2,INC-0139,0.1589278350605208
TASK-029,C2_metadata_filtered,3,INC-0075,0.15672902954741746
TASK-029,C2_metadata_filtered,4,INC-0011,0.15364132447527779
TASK-030,C2_metadata_filtered,1,SOP-0042,0.1824550441272188
TASK-030,C2_metadata_filtered,2,INC-0172,0.17315944778115533
TASK-030,C2_metadata_filtered,3,LL-0026,0.16362240677321468
TASK-030,C2_metadata_filtered,4,INC-0044,0.16270054996029482
TASK-030,C2_metadata_filtered,5,INC-0108,0.12948222728955106
TASK-031,C2_metadata_filtered,1,INC-0058,0.26258015148877656
TASK-031,C2_metadata_filtered,2,INC-0122,0.1680271053573329
TASK-031,C2_metadata_filtered,3,SOP-0027,0.16528907041931967
TASK-032,C2_metadata_filtered,1,INC-0085,0.14515569010886914
TASK-032,C2_metadata_filtered,2,LL-0022,0.09945773059633195
TASK-032,C2_metadata_filtered,3,INC-0149,0.09592431746692848
TASK-032,C2_metadata_filtered,4,INC-0021,0.09246642192750304
TASK-033,C2_metadata_filtered,1,INC-0032,0.27593938574652505
TASK-033,C2_metadata_filtered,2,INC-0160,0.21449319186179253
TASK-033,C2_metadata_filtered,3,INC-0096,0.14756868271512355
TASK-033,C2_metadata_filtered,4,SOP-0031,0.0959234241273779
TASK-034,C2_metadata_filtered,1,INC-0157,0.35719512776553747
TASK-034,C2_metadata_filtered,2,INC-0029,0.2840898896948018
TASK-034,C2_metadata_filtered,3,LL-0019,0.20793799340898897
TASK-034,C2_metadata_filtered,4,INC-0093,0.20255634555629037
TASK-035,C2_metadata_filtered,1,INC-0114,0.2749430279088022
TASK-035,C2_metadata_filtered,2,INC-0050,0.22506779158740056
TASK-035,C2_metadata_filtered,3,INC-0178,0.1778924190648305
TASK-035,C2_metadata_filtered,4,SOP-0033,0.1647072107541322
TASK-036,C2_metadata_filtered,1,INC-0094,0.19698917433095836
TASK-036,C2_metadata_filtered,2,INC-0030,0.19083834662123403
TASK-036,C2_metadata_filtered,3,VND-0025,0.10898730623367012
TASK-036,C2_metadata_filtered,4,VND-0005,0.10793226247258045
TASK-036,C2_metadata_filtered,5,VND-0033,0.1024959918358383
TASK-036,C2_metadata_filtered,6,VND-0038,0.1024959918358383
TASK-036,C2_metadata_filtered,7,VND-0007,0.10167581014470076
TASK-036,C2_metadata_filtered,8,SOP-0040,0.09836947044792428
TASK-037,C2_metadata_filtered,1,INC-0103,0.1965841163004222
TASK-037,C2_metadata_filtered,2,INC-0039,0.13244558662926165
TASK-037,C2_metadata_filtered,3,LL-0013,0.11447610006937438
TASK-037,C2_metadata_filtered,4,INC-0167,0.11333626389253897
TASK-038,C2_metadata_filtered,1,INC-0065,0.17971451711162853
TASK-038,C2_metadata_filtered,2,SOP-0008,0.1752356296319669
TASK-038,C2_metadata_filtered,3,INC-0129,0.1668631753759003
TASK-038,C2_metadata_filtered,4,INC-0001,0.16569891176446677
TASK-039,C2_metadata_filtered,1,INC-0026,0.24434302855686937
TASK-039,C2_metadata_filtered,2,INC-0154,0.15801135625564613
TASK-039,C2_metadata_filtered,3,SOP-0038,0.12925297868264368
TASK-039,C2_metadata_filtered,4,LL-0028,0.1145973645521648
TASK-039,C2_metadata_filtered,5,INC-0090,0.10822990426549457
TASK-040,C2_metadata_filtered,1,INC-0010,0.3315054734549845
TASK-040,C2_metadata_filtered,2,VND-0021,0.11749997241404497
TASK-040,C2_metadata_filtered,3,VND-0036,0.11651216770556325
TASK-040,C2_metadata_filtered,4,VND-0008,0.1165076333795347
TASK-040,C2_metadata_filtered,5,VND-0028,0.11115911564630296
TASK-040,C2_metadata_filtered,6,SOP-0017,0.10596060567657137
