task_id,condition,rank,record_id,score
TASK-001,C3_hybrid,1,SOP-0048,0.32032174500280264
TASK-001,C3_hybrid,2,LL-0011,0.2990086402547687
TASK-001,C3_hybrid,3,INC-0025,0.28372156851483327
TASK-001,C3_hybrid,4,INC-0153,0.27443584474201
TASK-001,C3_hybrid,5,INC-0089,0.23757116737601974
TASK-001,C3_hybrid,6,INC-0136,0.21133689530295424
TASK-001,C3_hybrid,7,INC-0060,0.17684857387091146
TASK-001,C3_hybrid,8,INC-0032,0.1696136492290874
TASK-001,C3_hybrid,9,INC-0096,0.16575179478049895
TASK-001,C3_hybrid,10,INC-0124,0.1621285622653523
TASK-002,C3_hybrid,1,INC-0162,0.5113560558115764
TASK-002,C3_hybrid,2,INC-0034,0.49243635866197083
TASK-002,C3_hybrid,3,INC-0098,0.4197737761621227
TASK-002,C3_hybrid,4,INC-0045,0.2798852856502355
TASK-002,C3_hybrid,5,INC-0146,0.27973073939670756
TASK-002,C3_hybrid,6,INC-0121,0.24290515868268828
TASK-002,C3_hybrid,7,INC-0127,0.2360422334766712
TASK-002,C3_hybrid,8,INC-0140,0.23316075787903734
TASK-002,C3_hybrid,9,INC-0049,0.22367271521570484
TASK-002,C3_hybrid,10,INC-0019,0.21912084230280965
TASK-003,C3_hybrid,1,SOP-0049,0.3898258413599732
TASK-003,C3_hybrid,2,INC-0081,0.350059831719304
TASK-003,C3_hybrid,3,INC-0017,0.29641206414415167
TASK-003,C3_hybrid,4,INC-0145,0.2547773029069667
TASK-003,C3_hybrid,5,INC-0022,0.23018565002107466
TASK-003,C3_hybrid,6,SOP-0037,0.19714709224714844
TASK-003,C3_hybrid,7,SOP-0012,0.19699815959940864
TASK-003,C3_hybrid,8,SOP-0046,0.1967774742087158
TASK-003,C3_hybrid,9,INC-0150,0.19550897142927037
TASK-003,C3_hybrid,10,SOP-0028,0.19359925012573792
TASK-004,C3_hybrid,1,INC-0063,0.4252585842011612
TASK-004,C3_hybrid,2,INC-0127,0.3127190224044989
TASK-004,C3_hybrid,3,VND-0023,0.27352460849138327
TASK-004,C3_hybrid,4,VND-0018,0.27352460849138327
TASK-004,C3_hybrid,5,VND-0039,0.24235117975516438
TASK-004,C3_hybrid,6,SOP-0018,0.2309318604701628
TASK-004,C3_hybrid,7,SOP-0032,0.23042755874732979
TASK-004,C3_hybrid,8,VND-0013,0.22946422928263255
TASK-004,C3_hybrid,9,VND-0022,0.22833800501241155
TASK-004,C3_hybrid,10,VND-0040,0.22833800501241155
TASK-005,C3_hybrid,1,INC-0071,0.32157659089239676
TASK-005,C3_hybrid,2,INC-0007,0.2541437653369252
TASK-005,C3_hybrid,3,LL-0003,0.24316202043965052
TASK-005,C3_hybrid,4,INC-0135,0.22610471758833453
TASK-005,C3_hybrid,5,INC-0015,0.16559504169208855
TASK-005,C3_hybrid,6,SOP-0022,0.148033211352908
TASK-005,C3_hybrid,7,SOP-0035,0.14795223329604307
TASK-005,C3_hybrid,8,SOP-0017,0.14564164013161385
TASK-005,C3_hybrid,9,SOP-0007,0.14486035570610895
TASK-005,C3_hybrid,10,SOP-0043,0.14423214496801054
TASK-006,C3_hybrid,1,INC-0176,0.4107547709839666
TASK-006,C3_hybrid,2,INC-0048,0.40513364296865684
TASK-006,C3_hybrid,3,INC-0112,0.36370862002101345
TASK-006,C3_hybrid,4,LL-0007,0.3573468935770038
TASK-006,C3_hybrid,5,SOP-0004,0.22161576990656984
TASK-006,C3_hybrid,6,INC-0026,0.19923916669855501
TASK-006,C3_hybrid,7,LL-0006,0.19519809746800146
TASK-006,C3_hybrid,8,VND-0002,0.19076568510087907
TASK-006,C3_hybrid,9,VND-0027,0.19042434469056926
TASK-006,C3_hybrid,10,VND-0034,0.1889774323595477
TASK-007,C3_hybrid,1,INC-0105,0.3635261814151074
TASK-007,C3_hybrid,2,VND-0002,0.3602031886458795
TASK-007,C3_hybrid,3,VND-0027,0.3598404812956709
TASK-007,C3_hybrid,4,VND-0034,0.35830299636356855
TASK-007,C3_hybrid,5,VND-0037,0.35041641003318413
TASK-007,C3_hybrid,6,VND-0006,0.35041641003318413
TASK-007,C3_hybrid,7,INC-0041,0.3501370814730889
TASK-007,C3_hybrid,8,INC-0169,0.2910992103634521
TASK-007,C3_hybrid,9,INC-0090,0.2598867937005837
TASK-007,C3_hybrid,10,LL-0002,0.23858770270684793
TASK-008,C3_hybrid,1,INC-0005,0.38344738062540135
TASK-008,C3_hybrid,2,INC-0069,0.3685348525407003
TASK-008,C3_hybrid,3,INC-0133,0.3681497772123174
TASK-008,C3_hybrid,4,SOP-0045,0.30121333535827094
TASK-008,C3_hybrid,5,INC-0155,0.2991594090870109
TASK-008,C3_hybrid,6,LL-0027,0.2835079015995797
TASK-008,C3_hybrid,7,INC-0104,0.2058902014616497
TASK-008,C3_hybrid,8,INC-0027,0.1956501937907363
TASK-008,C3_hybrid,9,INC-0028,0.1689987609803268
TASK-008,C3_hybrid,10,INC-0170,0.1535930192916199
TASK-009,C3_hybrid,1,INC-0045,0.3860982199051392
TASK-009,C3_hybrid,2,SOP-0047,0.35760732091444636
TASK-009,C3_hybrid,3,INC-0109,0.35069456742575617
TASK-009,C3_hybrid,4,INC-0076,0.3169705596959631
TASK-009,C3_hybrid,5,LL-0025,0.29114212448804044
TASK-009,C3_hybrid,6,INC-0140,0.28946328564955726
TASK-009,C3_hybrid,7,INC-0173,0.28631725737432034
TASK-009,C3_hybrid,8,INC-0098,0.27923331883365815
TASK-009,C3_hybrid,9,INC-0019,0.26632322014595394
TASK-009,C3_hybrid,10,INC-0127,0.24062715968971649
TASK-010,C3_hybrid,1,INC-0028,0.45810130348377226
TASK-010,C3_hybrid,2,INC-0092,0.42106303718999816
TASK-010,C3_hybrid,3,INC-0156,0.41404131531065325
TASK-010,C3_hybrid,4,VND-0035,0.2364867049816051
TASK-010,C3_hybrid,5,VND-0014,0.2364867049816051
TASK-010,C3_hybrid,6,VND-0011,0.21267629718415712
TASK-010,C3_hybrid,7,SOP-0029,0.20836204657031704
TASK-010,C3_hybrid,8,INC-0161,0.1801369335350818
TASK-010,C3_hybrid,9,SOP-0036,0.17996148855349153
TASK-010,C3_hybrid,10,SOP-0050,0.17969888520736071
TASK-011,C3_hybrid,1,INC-0107,0.33431529463972703
TASK-011,C3_hybrid,2,INC-0171,0.3186675606347381
TASK-011,C3_hybrid,3,LL-0012,0.2676419207311852
TASK-011,C3_hybrid,4,SOP-0025,0.2645019708000924
TASK-011,C3_hybrid,5,INC-0043,0.23274162164956125
TASK-011,C3_hybrid,6,INC-0172,0.1892058233292492
TASK-011,C3_hybrid,7,INC-0129,0.14143672094188256
TASK-011,C3_hybrid,8,INC-0068,0.13881590996965004
TASK-011,C3_hybrid,9,INC-0102,0.13126367051708626
TASK-011,C3_hybrid,10,INC-0139,0.10052173715092147
TASK-012,C3_hybrid,1,INC-0040,0.3565071473729963
TASK-012,C3_hybrid,2,INC-0104,0.34180449026527693
TASK-012,C3_hybrid,3,INC-0168,0.30041390577498356
TASK-012,C3_hybrid,4,SOP-0024,0.2716897227281947
TASK-012,C3_hybrid,5,LL-0005,0.265168077819953
TASK-012,C3_hybrid,6,INC-0027,0.24290101743136006
TASK-012,C3_hybrid,7,INC-0033,0.22245515169477828
TASK-012,C3_hybrid,8,INC-0062,0.17041710505064164
TASK-012,C3_hybrid,9,INC-0128,0.16762781669183063
TASK-012,C3_hybrid,10,INC-0091,0.16073607409490132
TASK-013,C3_hybrid,1,INC-0102,0.3689823759252677
TASK-013,C3_hybrid,2,INC-0166,0.32778157507577715
TASK-013,C3_hybrid,3,SOP-0041,0.2988306753262353
TASK-013,C3_hybrid,4,LL-0010,0.2702735332582786
TASK-013,C3_hybrid,5,INC-0038,0.2689370708065621
TASK-013,C3_hybrid,6,VND-0017,0.17037318843842536
TASK-013,C3_hybrid,7,INC-0068,0.16287533946760158
TASK-013,C3_hybrid,8,INC-0139,0.14000911125742938
TASK-013,C3_hybrid,9,INC-0172,0.1389928747538564
TASK-013,C3_hybrid,10,SOP-0019,0.12664290180407367
TASK-014,C3_hybrid,1,INC-0117,0.45049402749325734
TASK-014,C3_hybrid,2,SOP-0039,0.3511767571408283
TASK-014,C3_hybrid,3,INC-0053,0.2879432635353429
TASK-014,C3_hybrid,4,VND-0027,0.16406918801506795
TASK-014,C3_hybrid,5,VND-0034,0.1628757825300176
TASK-014,C3_hybrid,6,INC-0041,0.14839305560046084
TASK-014,C3_hybrid,7,INC-0118,0.1430163610032174
TASK-014,C3_hybrid,8,INC-0054,0.13314632616671712
TASK-014,C3_hybrid,9,SOP-0002,0.1293784656217199
TASK-014,C3_hybrid,10,INC-0169,0.1146530182192212
TASK-015,C3_hybrid,1,INC-0147,0.417821935651208
TASK-015,C3_hybrid,2,SOP-0015,0.34969035582274166
TASK-015,C3_hybrid,3,INC-0083,0.34199036718342374
TASK-015,C3_hybrid,4,INC-0177,0.3374362943625076
TASK-015,C3_hybrid,5,INC-0012,0.31478860137334425
TASK-015,C3_hybrid,6,INC-0018,0.30153500524782195
TASK-015,C3_hybrid,7,INC-0173,0.2943619500074421
TASK-015,C3_hybrid,8,INC-0019,0.2880240756393889
TASK-015,C3_hybrid,9,INC-0057,0.2226270707281107
TASK-015,C3_hybrid,10,INC-0082,0.21816418561212936
TASK-016,C3_hybrid,1,INC-0037,0.40940327971276586
TASK-016,C3_hybrid,2,INC-0101,0.4063604376841138
TASK-016,C3_hybrid,3,SOP-0007,0.3035081248754766
TASK-016,C3_hybrid,4,INC-0165,0.24336672190300324
TASK-016,C3_hybrid,5,INC-0138,0.14902303056494867
TASK-016,C3_hybrid,6,INC-0051,0.1454778806072896
TASK-016,C3_hybrid,7,INC-0123,0.1398874844899891
TASK-016,C3_hybrid,8,INC-0079,0.13685568389576017
TASK-016,C3_hybrid,9,INC-0059,0.13482783561730594
