task_id,condition,rank,record_id,score
TASK-001,C4_generic_taxonomy,1,INC-0060,0.16979027596560153
TASK-001,C4_generic_taxonomy,2,INC-0136,0.16108514731591778
TASK-001,C4_generic_taxonomy,3,INC-0032,0.15962901471393354
TASK-001,C4_generic_taxonomy,4,INC-0096,0.156097008617559
TASK-001,C4_generic_taxonomy,5,INC-0124,0.15545041689049355
TASK-001,C4_generic_taxonomy,6,INC-0158,0.1494045480541722
TASK-001,C4_generic_taxonomy,7,LL-0020,0.11679924201395925
TASK-001,C4_generic_taxonomy,8,LL-0011,0.11632401530560726
TASK-001,C4_generic_taxonomy,9,LL-0026,0.11204103728743295
TASK-001,C4_generic_taxonomy,10,INC-0077,0.10508957438086389
TASK-002,C4_generic_taxonomy,1,INC-0162,0.33810239347477145
TASK-002,C4_generic_taxonomy,2,INC-0098,0.32089872710792355
TASK-002,C4_generic_taxonomy,3,INC-0034,0.30289107237630375
TASK-002,C4_generic_taxonomy,4,INC-0140,0.24746460151751495
TASK-002,C4_generic_taxonomy,5,INC-0045,0.24560820344038897
TASK-002,C4_generic_taxonomy,6,INC-0076,0.24332775940237303
TASK-002,C4_generic_taxonomy,7,INC-0019,0.22897634294835187
TASK-002,C4_generic_taxonomy,8,INC-0121,0.21329000671754111
TASK-002,C4_generic_taxonomy,9,INC-0127,0.20793858999311243
TASK-002,C4_generic_taxonomy,10,INC-0146,0.1846650035426779
TASK-003,C4_generic_taxonomy,1,INC-0025,0.1770467373930379
TASK-003,C4_generic_taxonomy,2,INC-0153,0.17313233578291665
TASK-003,C4_generic_taxonomy,3,INC-0077,0.17135322882221454
TASK-003,C4_generic_taxonomy,4,INC-0150,0.1618592262024289
TASK-003,C4_generic_taxonomy,5,INC-0081,0.16170209416524056
TASK-003,C4_generic_taxonomy,6,INC-0046,0.15837617571722218
TASK-003,C4_generic_taxonomy,7,INC-0022,0.15739546222698567
TASK-003,C4_generic_taxonomy,8,INC-0053,0.15541719140861437
TASK-003,C4_generic_taxonomy,9,INC-0034,0.1548729408477316
TASK-003,C4_generic_taxonomy,10,INC-0085,0.15447965637966202
TASK-004,C4_generic_taxonomy,1,INC-0063,0.28146882698762693
TASK-004,C4_generic_taxonomy,2,INC-0179,0.2814622414560579
TASK-004,C4_generic_taxonomy,3,INC-0115,0.2454504435244413
TASK-004,C4_generic_taxonomy,4,LL-0021,0.23903219673276904
TASK-004,C4_generic_taxonomy,5,INC-0127,0.2354500657899876
TASK-004,C4_generic_taxonomy,6,INC-0155,0.20854827030898052
TASK-004,C4_generic_taxonomy,7,INC-0018,0.19972200525859662
TASK-004,C4_generic_taxonomy,8,LL-0004,0.19640367460893826
TASK-004,C4_generic_taxonomy,9,INC-0111,0.19386937225234968
TASK-004,C4_generic_taxonomy,10,INC-0051,0.1923366031092896
TASK-005,C4_generic_taxonomy,1,INC-0106,0.20079516873321984
TASK-005,C4_generic_taxonomy,2,INC-0056,0.17586777682200477
TASK-005,C4_generic_taxonomy,3,INC-0042,0.1722957290375882
TASK-005,C4_generic_taxonomy,4,INC-0170,0.16840138437965713
TASK-005,C4_generic_taxonomy,5,INC-0120,0.16663481075935688
TASK-005,C4_generic_taxonomy,6,INC-0160,0.16613098791013303
TASK-005,C4_generic_taxonomy,7,INC-0131,0.1629312528790111
TASK-005,C4_generic_taxonomy,8,INC-0096,0.15123662138981864
TASK-005,C4_generic_taxonomy,9,INC-0071,0.14885082366634939
TASK-005,C4_generic_taxonomy,10,INC-0003,0.1460845675018938
TASK-006,C4_generic_taxonomy,1,INC-0176,0.2811020849325122
TASK-006,C4_generic_taxonomy,2,INC-0048,0.26962546517264296
TASK-006,C4_generic_taxonomy,3,INC-0053,0.20915903243903636
TASK-006,C4_generic_taxonomy,4,INC-0118,0.19560032440049033
TASK-006,C4_generic_taxonomy,5,INC-0112,0.1895365734013511
TASK-006,C4_generic_taxonomy,6,LL-0007,0.18765555653437876
TASK-006,C4_generic_taxonomy,7,INC-0008,0.1848832382040313
TASK-006,C4_generic_taxonomy,8,INC-0005,0.18481247135359583
TASK-006,C4_generic_taxonomy,9,INC-0026,0.17368220826994818
TASK-006,C4_generic_taxonomy,10,INC-0023,0.16772432447061777
TASK-007,C4_generic_taxonomy,1,INC-0090,0.21538413636847326
TASK-007,C4_generic_taxonomy,2,INC-0023,0.1985519170692491
TASK-007,C4_generic_taxonomy,3,INC-0105,0.19696321327480104
TASK-007,C4_generic_taxonomy,4,INC-0041,0.17453101528884563
TASK-007,C4_generic_taxonomy,5,INC-0154,0.1676158503385383
TASK-007,C4_generic_taxonomy,6,INC-0118,0.16539264583580612
TASK-007,C4_generic_taxonomy,7,INC-0087,0.16246589748087775
TASK-007,C4_generic_taxonomy,8,INC-0053,0.15291873825509875
TASK-007,C4_generic_taxonomy,9,INC-0169,0.15102369026791757
TASK-007,C4_generic_taxonomy,10,INC-0119,0.15098431196108422
TASK-008,C4_generic_taxonomy,1,INC-0155,0.22599968489426234
TASK-008,C4_generic_taxonomy,2,INC-0133,0.2068892778229951
TASK-008,C4_generic_taxonomy,3,INC-0048,0.1906051529977837
TASK-008,C4_generic_taxonomy,4,INC-0005,0.1765137960982555
TASK-008,C4_generic_taxonomy,5,INC-0041,0.16839703682912735
TASK-008,C4_generic_taxonomy,6,INC-0069,0.16262995365663546
TASK-008,C4_generic_taxonomy,7,INC-0018,0.15883410297870593
TASK-008,C4_generic_taxonomy,8,INC-0072,0.15830627655667748
TASK-008,C4_generic_taxonomy,9,INC-0104,0.15736839723396695
TASK-008,C4_generic_taxonomy,10,INC-0027,0.1485549961037678
TASK-009,C4_generic_taxonomy,1,INC-0045,0.2891524973828188
TASK-009,C4_generic_taxonomy,2,INC-0140,0.2764319134157624
TASK-009,C4_generic_taxonomy,3,INC-0076,0.2711823403996061
TASK-009,C4_generic_taxonomy,4,INC-0098,0.26576886921123277
TASK-009,C4_generic_taxonomy,5,INC-0127,0.2552593089819856
