condition,task_id,hit@1,hit@3,hit@5,rr,p@5,r@5
C1_free_text,TASK-001,0,0,0,0.0,0.0,0.0
C1_free_text,TASK-002,1,1,1,1.0,0.6,1.0
C1_free_text,TASK-003,0,0,0,0.0,0.2,0.25
C1_free_text,TASK-004,0,0,1,0.25,0.2,0.5
C1_free_text,TASK-005,0,0,0,0.0,0.0,0.0
C1_free_text,TASK-006,0,0,0,0.16666666666666666,0.4,0.5
C1_free_text,TASK-007,0,0,0,0.1111111111111111,0.4,0.3333333333333333
C1_free_text,TASK-008,0,0,1,0.25,0.2,0.25
C1_free_text,TASK-009,0,0,0,0.0,0.2,0.25
C1_free_text,TASK-010,0,1,1,0.5,0.6,1.0
C1_free_text,TASK-011,0,0,0,0.0,0.0,0.0
C1_free_text,TASK-012,0,0,0,0.16666666666666666,0.0,0.0
C1_free_text,TASK-013,0,0,0,0.1111111111111111,0.0,0.0
C1_free_text,TASK-014,1,1,1,1.0,0.6,1.0
C1_free_text,TASK-015,0,0,0,0.14285714285714285,0.0,0.0
C1_free_text,TASK-016,0,1,1,0.5,0.4,0.6666666666666666
C1_free_text,TASK-017,1,1,1,1.0,0.4,0.5
C1_free_text,TASK-018,1,1,1,1.0,0.6,0.75
C1_free_text,TASK-019,0,0,0,0.0,0.2,0.25
C1_free_text,TASK-020,0,0,0,0.0,0.2,0.25
C1_free_text,TASK-021,1,1,1,1.0,0.4,0.5
C1_free_text,TASK-022,1,1,1,1.0,0.2,0.3333333333333333
C1_free_text,TASK-023,0,1,1,0.5,1.0,1.0
C1_free_text,TASK-024,1,1,1,1.0,0.2,0.16666666666666666
C1_free_text,TASK-025,1,1,1,1.0,0.4,0.6666666666666666
C1_free_text,TASK-026,0,0,0,0.0,0.4,0.6666666666666666
C1_free_text,TASK-027,1,1,1,1.0,0.8,0.8
C1_free_text,TASK-028,0,1,1,0.5,0.4,0.6666666666666666
C1_free_text,TASK-029,0,0,0,0.14285714285714285,0.2,0.3333333333333333
C1_free_text,TASK-030,0,0,0,0.14285714285714285,0.2,0.3333333333333333
C1_free_text,TASK-031,0,0,0,0.0,0.2,0.3333333333333333
C1_free_text,TASK-032,0,0,0,0.0,0.0,0.0
C1_free_text,TASK-033,1,1,1,1.0,0.6,0.75
C1_free_text,TASK-034,1,1,1,1.0,0.4,0.5
C1_free_text,TASK-035,1,1,1,1.0,0.4,0.5
C1_free_text,TASK-036,0,1,1,0.3333333333333333,0.2,0.16666666666666666
C1_free_text,TASK-037,1,1,1,1.0,0.2,0.25
C1_free_text,TASK-038,0,0,0,0.16666666666666666,0.6,0.75
C1_free_text,TASK-039,0,1,1,0.5,0.4,0.4
C1_free_text,TASK-040,1,1,1,1.0,0.2,0.3333333333333333
C2_metadata_filtered,TASK-001,0,1,1,0.3333333333333333,0.8,1.0
C2_metadata_filtered,TASK-002,1,1,1,1.0,0.6,1.0
C2_metadata_filtered,TASK-003,0,1,1,0.5,0.8,1.0
C2_metadata_filtered,TASK-004,1,1,1,1.0,0.4,1.0
C2_metadata_filtered,TASK-005,1,1,1,1.0,0.8,1.0
C2_metadata_filtered,TASK-006,0,1,1,0.3333333333333333,0.8,1.0
C2_metadata_filtered,TASK-007,0,0,0,0.14285714285714285,0.8,0.6666666666666666
