task_id,condition,selected_record_id,ground_truth_record_id,selection_correct_strict,selection_correct_lenient
TASK-001,C1_free_text,INC-0060,INC-0025,0,0
TASK-002,C1_free_text,INC-0162,INC-0162,1,1
TASK-003,C1_free_text,SOP-0049,INC-0081,0,1
TASK-004,C1_free_text,SOP-0043,INC-0063,0,0
TASK-005,C1_free_text,INC-0106,INC-0071,0,0
TASK-006,C1_free_text,INC-0176,INC-0112,0,1
TASK-007,C1_free_text,INC-0090,INC-0041,0,0
TASK-008,C1_free_text,INC-0155,INC-0005,0,0
TASK-009,C1_free_text,INC-0045,INC-0173,0,1
TASK-010,C1_free_text,INC-0092,INC-0028,0,1
TASK-011,C1_free_text,INC-0026,INC-0171,0,0
TASK-012,C1_free_text,INC-0169,INC-0040,0,0
TASK-013,C1_free_text,SOP-0022,INC-0102,0,0
TASK-014,C1_free_text,INC-0117,INC-0117,1,1
TASK-015,C1_free_text,INC-0012,INC-0147,0,0
TASK-016,C1_free_text,INC-0037,INC-0101,0,1
TASK-017,C1_free_text,INC-0003,INC-0003,1,1
TASK-018,C1_free_text,INC-0057,INC-0057,1,1
TASK-019,C1_free_text,SOP-0048,INC-0180,0,0
TASK-020,C1_free_text,INC-0097,INC-0161,0,1
TASK-021,C1_free_text,INC-0142,INC-0142,1,1
TASK-022,C1_free_text,INC-0054,INC-0054,1,1
TASK-023,C1_free_text,SOP-0005,INC-0009,0,1
TASK-024,C1_free_text,INC-0110,INC-0110,1,1
TASK-025,C1_free_text,INC-0082,INC-0082,1,1
TASK-026,C1_free_text,INC-0124,INC-0060,0,1
TASK-027,C1_free_text,INC-0159,INC-0159,1,1
TASK-028,C1_free_text,INC-0006,INC-0134,0,1
TASK-029,C1_free_text,VND-0019,INC-0075,0,0
TASK-030,C1_free_text,INC-0013,INC-0172,0,0
TASK-031,C1_free_text,INC-0058,INC-0122,0,1
TASK-032,C1_free_text,INC-0137,INC-0085,0,0
TASK-033,C1_free_text,INC-0032,INC-0032,1,1
TASK-034,C1_free_text,INC-0157,INC-0157,1,1
TASK-035,C1_free_text,INC-0114,INC-0114,1,1
TASK-036,C1_free_text,INC-0153,INC-0094,0,0
TASK-037,C1_free_text,INC-0103,INC-0103,1,1
TASK-038,C1_free_text,VND-0019,INC-0001,0,0
TASK-039,C1_free_text,INC-0026,INC-0154,0,1
TASK-040,C1_free_text,INC-0010,INC-0010,1,1
TASK-001,C2_metadata_filtered,SOP-0048,INC-0025,0,1
TASK-002,C2_metadata_filtered,INC-0162,INC-0162,1,1
TASK-003,C2_metadata_filtered,SOP-0049,INC-0081,0,1
TASK-004,C2_metadata_filtered,INC-0063,INC-0063,1,1
TASK-005,C2_metadata_filtered,INC-0071,INC-0071,1,1
TASK-006,C2_metadata_filtered,INC-0176,INC-0112,0,1
TASK-007,C2_metadata_filtered,INC-0105,INC-0041,0,0
TASK-008,C2_metadata_filtered,INC-0133,INC-0005,0,0
TASK-009,C2_metadata_filtered,INC-0045,INC-0173,0,1
TASK-010,C2_metadata_filtered,INC-0092,INC-0028,0,1
TASK-011,C2_metadata_filtered,INC-0107,INC-0171,0,1
TASK-012,C2_metadata_filtered,INC-0104,INC-0040,0,0
TASK-013,C2_metadata_filtered,INC-0102,INC-0102,1,1
TASK-014,C2_metadata_filtered,INC-0117,INC-0117,1,1
TASK-015,C2_metadata_filtered,INC-0147,INC-0147,1,1
TASK-016,C2_metadata_filtered,INC-0037,INC-0101,0,1
TASK-017,C2_metadata_filtered,INC-0003,INC-0003,1,1
TASK-018,C2_metadata_filtered,INC-0057,INC-0057,1,1
TASK-019,C2_metadata_filtered,SOP-0006,INC-0180,0,1
TASK-020,C2_metadata_filtered,INC-0097,INC-0161,0,1
