task_id,ground_truth_record_id,secondary_relevant_record_ids
TASK-001,INC-0025,SOP-0048|LL-0011|INC-0089
TASK-002,INC-0162,INC-0034|INC-0098
TASK-003,INC-0081,SOP-0049|INC-0017|INC-0145
TASK-004,INC-0063,INC-0127
TASK-005,INC-0071,LL-0003|INC-0007|INC-0135
TASK-006,INC-0112,LL-0007|INC-0048|INC-0176
TASK-007,INC-0041,VND-0002|VND-0006|VND-0027|VND-0034|VND-0037
TASK-008,INC-0005,SOP-0045|LL-0027|INC-0069
TASK-009,INC-0173,SOP-0047|LL-0025|INC-0045
TASK-010,INC-0028,INC-0092|INC-0156
TASK-011,INC-0171,SOP-0025|LL-0012|INC-0043|INC-0107
TASK-012,INC-0040,SOP-0024|LL-0005
TASK-013,INC-0102,SOP-0041|LL-0010|INC-0038|INC-0166
TASK-014,INC-0117,SOP-0039|INC-0053
TASK-015,INC-0147,SOP-0015|INC-0019
TASK-016,INC-0101,SOP-0007|INC-0037
TASK-017,INC-0003,SOP-0030|LL-0030|INC-0067
TASK-018,INC-0057,SOP-0021|VND-0013|VND-0018
TASK-019,INC-0180,SOP-0006|INC-0052|INC-0116
TASK-020,INC-0161,SOP-0029|INC-0033|INC-0097
TASK-021,INC-0142,SOP-0001|INC-0014|INC-0078
TASK-022,INC-0054,SOP-0004|LL-0006
TASK-023,INC-0009,SOP-0005|LL-0008|INC-0073|INC-0137
TASK-024,INC-0110,SOP-0034|VND-0012|VND-0017|VND-0019|VND-0029
TASK-025,INC-0082,SOP-0032|INC-0018
TASK-026,INC-0060,SOP-0010|INC-0124
TASK-027,INC-0159,SOP-0014|LL-0001|INC-0031|INC-0095
TASK-028,INC-0134,INC-0006|INC-0070
TASK-029,INC-0075,SOP-0019|INC-0011
TASK-030,INC-0172,SOP-0042|LL-0026
TASK-031,INC-0122,SOP-0027|INC-0058
TASK-032,INC-0085,LL-0022|INC-0021|INC-0149
TASK-033,INC-0032,SOP-0031|INC-0096|INC-0160
TASK-034,INC-0157,LL-0019|INC-0029|INC-0093
TASK-035,INC-0114,SOP-0033|INC-0050|INC-0178
TASK-036,INC-0094,SOP-0040|VND-0005|VND-0007|VND-0025|VND-0033
TASK-037,INC-0103,LL-0013|INC-0039|INC-0167
TASK-038,INC-0001,SOP-0008|INC-0065|INC-0129
TASK-039,INC-0154,SOP-0038|LL-0028|INC-0026|INC-0090
TASK-040,INC-0010,SOP-0017|VND-0008
